record_id,bus_id,agency_id,linea,speed_kmh,distance_meters,day_of_week,time_of_day_min,scheduled_deviation_min,travel_time_to_next_stop_sec
72814750,"563","50","188",0.00,985,6,1215,0.00,985
72814749,"199","50","L6",18.00,1923,6,1215,0.00,385
72814748,"331","50","156",19.00,935,6,1215,0.00,177
72814747,"738","50","109",26.00,1068,6,1215,0.00,148
72814746,"972","50","60",0.00,434,6,1215,0.00,434
72814745,"1130","50","158",0.00,1226,6,1215,0.00,1226
72814744,"1147","50","CE1",28.00,259,6,1215,0.00,33
72814743,"562","50","L46",36.00,1916,6,1215,-12.00,10
72814742,"455","50","185",1.00,1979,6,1215,0.00,1800
72814741,"124","50","104",38.00,1814,6,1215,6.00,532
72814740,"18","50","105",2.00,710,6,1215,5.00,1010
72814739,"238","50","L15",10.00,533,6,1215,0.00,192
72814738,"35","50","103",38.00,1770,6,1215,0.00,168
72814737,"910","50","110",31.00,815,6,1215,19.00,1235
72814736,"717","50","192",21.00,1901,6,1215,0.00,326
72814735,"244","50","181",0.00,754,6,1215,0.00,754
72814734,"62","50","109",5.00,990,6,1215,0.00,713
72814733,"1118","50","116",3.00,937,6,1215,5.00,1237
72814732,"772","50","163",9.00,1090,6,1215,10.00,1036
72814731,"692","50","147",28.00,851,6,1215,5.00,409
72814730,"392","50","151",4.00,253,6,1215,0.00,228
72814729,"639","50","137",19.00,1271,6,1215,10.00,841
72814728,"56","50","103",8.00,1097,6,1215,5.00,794
72814727,"293","50","183",0.00,973,6,1215,0.00,973
72814726,"44","50","100",25.00,1554,6,1215,5.00,524
72814725,"970","50","121",1.00,1968,6,1215,0.00,1800
72814724,"294","50","147",1.00,810,6,1215,0.00,810
72814723,"478","50","147",32.00,1611,6,1215,13.00,961
72814722,"602","50","183",19.00,443,6,1215,8.00,564
72814721,"770","50","144",11.00,354,6,1215,14.00,956
72814720,"378","50","148",9.00,735,6,1215,0.00,294
72814719,"78","50","181",19.00,784,6,1215,18.00,1229
72814718,"947","50","109",1.00,1418,6,1215,0.00,1418
72814717,"414","50","145",1.00,456,6,1215,0.00,456
72814716,"423","50","113",23.00,1426,6,1215,11.00,883
72814715,"84","50","110",4.00,1440,6,1215,0.00,1296
72814714,"489","50","181",23.00,1961,6,1215,0.00,307
72814713,"208","50","137",36.00,285,6,1215,4.00,269
72814712,"816","50","L20",0.00,1052,6,1215,0.00,1052
72814711,"914","50","103",0.00,281,6,1215,0.00,281
72814710,"458","50","192",40.00,1051,6,1215,0.00,95
72814709,"970","50","121",30.00,1864,6,1215,19.00,1364
72814708,"632","50","192",12.00,297,6,1215,0.00,89
72814707,"544","50","128",14.00,486,6,1215,0.00,125
72814706,"155","50","104",38.00,910,6,1215,-9.00,10
72814705,"734","50","174",0.00,1546,6,1215,0.00,1546
72814704,"558","50","192",52.00,1706,6,1215,0.00,118
72814703,"1116","50","180",2.00,1873,6,1215,0.00,1800
72814702,"86","50","102",9.00,9780,6,1215,0.00,1800
72814701,"1142","50","183",41.00,1969,6,1215,11.00,833
72814700,"1131","50","163",40.00,899,6,1215,5.00,381
72814699,"198","50","127",0.00,678,6,1215,0.00,678
72814698,"264","50","145",35.00,1149,6,1215,4.00,358
72814697,"148","50","117",30.00,1700,6,1215,-3.00,24
72814696,"268","50","145",11.00,1952,6,1215,0.00,639
72814695,"637","50","105",43.00,856,6,1215,0.00,72
72814694,"640","50","175",0.00,554,6,1215,0.00,554
72814693,"611","50","185",0.00,554,6,1215,0.00,554
72814692,"1100","50","103",26.00,338,6,1215,0.00,47
72814691,"1048","50","E14",0.00,1107,6,1215,0.00,1107
72814690,"561","50","130",7.00,236,6,1215,0.00,121
72814689,"946","50","100",1.00,1604,6,1215,11.00,1800
72814688,"530","50","127",16.00,1895,6,1215,0.00,426
72814687,"165","50","195",25.00,1933,6,1215,0.00,278
72814686,"686","50","185",35.00,1496,6,1215,7.00,574
72814685,"705","50","115",16.00,1395,6,1215,8.00,794
72814684,"166","50","195",27.00,1970,6,1215,0.00,263
72814683,"894","50","G11",40.00,1764,6,1215,18.00,1239
72814682,"175","50","130",14.00,1258,6,1215,0.00,323
72814681,"461","50","175",30.00,1375,6,1215,0.00,165
72814680,"443","50","155",22.00,1726,6,1215,0.00,282
72814679,"259","50","142",22.00,1910,6,1215,0.00,313
72814678,"39","50","185",9.00,794,6,1215,0.00,318
72814677,"818","50","21",0.00,1743,6,1215,0.00,1743
72814676,"515","50","169",0.00,1925,6,1215,0.00,1800
72814675,"714","50","124",18.00,789,6,1215,-3.00,10
72814674,"349","50","183",1.00,287,6,1215,0.00,287
72814673,"744","50","185",0.00,1439,6,1215,0.00,1439
72814672,"926","50","L15",31.00,860,6,1215,8.00,580
72814671,"1133","50","174",10.00,940,6,1215,0.00,338
72814670,"616","50","124",63.00,1502,6,1215,0.00,86
72814669,"890","50","D8",33.00,750,6,1215,11.00,742
72814668,"894","50","G11",43.00,908,6,1215,12.00,796
72814667,"1144","50","E14",12.00,575,6,1215,-4.00,10
72814666,"169","50","127",45.00,309,6,1215,0.00,25
72814665,"785","50","L41",18.00,1263,6,1215,-4.00,13
72814664,"299","50","60",26.00,1643,6,1215,0.00,227
72814663,"712","50","121",1.00,433,6,1215,0.00,433
72814662,"691","50","175",20.00,474,6,1215,0.00,85
72814661,"14","50","103",0.00,1904,6,1215,0.00,1800
72814660,"495","50","21",0.00,320,6,1215,0.00,320
72814659,"488","50","183",0.00,1500,6,1215,0.00,1500
72814658,"341","50","60",0.00,1474,6,1215,0.00,1474
72814657,"132","50","117",11.00,1529,6,1215,0.00,500
72814656,"824","50","158",0.00,371,6,1215,0.00,371
72814655,"46","50","110",27.00,450,6,1215,11.00,720
72814654,"987","50","142",29.00,1859,6,1215,-3.00,51
72814653,"862","50","CE1",2.00,556,6,1215,0.00,556
72814652,"93","50","181",4.00,604,6,1215,0.00,544
72814651,"71","50","103",41.00,11740,6,1215,0.00,1031
72814650,"974","50","145",11.00,1517,6,1215,4.00,736
72814649,"137","50","121",30.00,1312,6,1215,19.00,1297
72814648,"990","50","163",25.00,1239,6,1215,0.00,178
72814647,"892","50","183",24.00,364,6,1215,0.00,55
72814646,"653","50","191",0.00,1425,6,1215,0.00,1425
72814645,"338","50","158",24.00,1672,6,1215,-5.00,10
72814644,"731","50","137",3.00,1998,6,1215,0.00,1800
72814643,"670","50","110",20.00,1105,6,1215,0.00,199
72814642,"97","50","64",3.00,568,6,1215,6.00,928
72814641,"518","50","149",19.00,1707,6,1215,7.00,743
72814640,"688","50","149",1.00,1856,6,1215,0.00,1800
72814639,"230","50","137",1.00,1269,6,1215,1.00,1329
72814638,"721","50","199",1.00,1814,6,1215,0.00,1800
72814637,"753","50","174",0.00,1082,6,1215,0.00,1082
72814636,"241","50","L4",2.00,882,6,1215,14.00,1722
72814635,"251","50","144",23.00,1356,6,1215,0.00,212
72814634,"300","50","148",41.00,1957,6,1215,0.00,172
72814633,"243","50","145",11.00,1713,6,1215,18.00,1641
72814632,"286","50","145",34.00,541,6,1215,0.00,57
72814631,"136","50","121",1.00,1920,6,1215,0.00,1800
72814630,"349","50","183",7.00,534,6,1215,0.00,275
72814629,"798","50","L39",40.00,676,6,1215,8.00,541
72814628,"572","50","181",29.00,1589,6,1215,14.00,1037
72814627,"209","50","127",41.00,930,6,1215,0.00,82
72814626,"69","50","103",32.00,10020,6,1215,3.00,1307
72814625,"30","50","103",51.00,1389,6,1215,0.00,98
72814624,"707","50","21",2.00,983,6,1215,0.00,983
72814623,"232","50","124",27.00,1222,6,1215,-20.00,10
72814622,"724","50","174",15.00,986,6,1215,-15.00,10
72814621,"477","50","130",12.00,244,6,1215,0.00,73
72814620,"72","50","L9",8.00,1358,6,1215,0.00,611
72814619,"648","50","149",18.00,1639,6,1215,0.00,328
72814618,"1126","50","143",32.00,1165,6,1215,9.00,671
72814617,"53","50","100",0.00,6640,6,1215,0.00,1800
72814616,"588","50","199",1.00,1283,6,1215,13.00,1800
72814615,"502","50","181",30.00,1994,6,1215,12.00,959
72814614,"228","50","125",24.00,1424,6,1215,9.00,754
72814613,"47","50","102",16.00,1527,6,1215,0.00,344
72814612,"387","50","185",17.00,1781,6,1215,0.00,377
72814611,"761","50","192",0.00,1300,6,1215,0.00,1300
72814610,"968","50","110",20.00,1888,6,1215,0.00,340
72814609,"420","50","G8",25.00,952,6,1215,-4.00,10
72814608,"45","50","185",0.00,794,6,1215,0.00,794
72814607,"99","50","111",21.00,332,6,1215,13.00,837
72814606,"1107","50","105",28.00,1117,6,1215,0.00,144
72814605,"402","50","199",19.00,1370,6,1215,0.00,260
72814604,"579","50","192",1.00,1037,6,1215,0.00,1037
