ASIGNACION DIARIA - 21/01/2026
Línea,Servicio,Coche,Conductor,Sale
300,1000,1,5000,05:00
300,1001,2,5001,06:00
300,1002,3,5002,07:00
300,1003,4,5003,08:00
300,1004,5,5004,09:00
300,1005,6,5005,010:00
300,1006,7,5006,011:00
300,1007,8,5007,012:00
316,1000,9,5000,05:00
316,1001,10,5001,06:00
316,1002,11,5002,07:00
316,1003,12,5003,08:00
316,1004,13,5004,09:00
316,1005,14,5005,010:00
316,1006,15,5006,011:00
316,1007,16,5007,012:00
370,1000,17,5000,05:00
370,1001,18,5001,06:00
370,1002,19,5002,07:00
370,1003,20,5003,08:00
370,1004,21,5004,09:00
370,1005,22,5005,010:00
370,1006,23,5006,011:00
370,1007,24,5007,012:00
329,1000,25,5000,05:00
329,1001,26,5001,06:00
329,1002,27,5002,07:00
329,1003,28,5003,08:00
329,1004,29,5004,09:00
329,1005,30,5005,010:00
329,1006,31,5006,011:00
329,1007,32,5007,012:00
L13,1000,33,5000,05:00
L13,1001,34,5001,06:00
L13,1002,35,5002,07:00
L13,1003,36,5003,08:00
L13,1004,37,5004,09:00
L13,1005,38,5005,010:00
L13,1006,39,5006,011:00
L13,1007,40,5007,012:00
106,1000,41,5000,05:00
106,1001,42,5001,06:00
106,1002,43,5002,07:00
106,1003,44,5003,08:00
106,1004,45,5004,09:00
106,1005,46,5005,010:00
106,1006,47,5006,011:00
106,1007,48,5007,012:00
110,1000,49,5000,05:00
110,1001,50,5001,06:00
110,1002,51,5002,07:00
110,1003,52,5003,08:00
110,1004,53,5004,09:00
110,1005,54,5005,010:00
110,1006,55,5006,011:00
110,1007,56,5007,012:00
111,1000,57,5000,05:00
111,1001,58,5001,06:00
111,1002,59,5002,07:00
111,1003,60,5003,08:00
111,1004,61,5004,09:00
111,1005,62,5005,010:00
111,1006,63,5006,011:00
111,1007,64,5007,012:00
112,1000,65,5000,05:00
112,1001,66,5001,06:00
112,1002,67,5002,07:00
112,1003,68,5003,08:00
112,1004,69,5004,09:00
112,1005,70,5005,010:00
112,1006,71,5006,011:00
112,1007,72,5007,012:00
113,1000,73,5000,05:00
113,1001,74,5001,06:00
113,1002,75,5002,07:00
113,1003,76,5003,08:00
113,1004,77,5004,09:00
113,1005,78,5005,010:00
113,1006,79,5006,011:00
113,1007,80,5007,012:00
115,1000,81,5000,05:00
115,1001,82,5001,06:00
115,1002,83,5002,07:00
115,1003,84,5003,08:00
115,1004,85,5004,09:00
115,1005,86,5005,010:00
115,1006,87,5006,011:00
115,1007,88,5007,012:00
121,1000,89,5000,05:00
121,1001,90,5001,06:00
121,1002,91,5002,07:00
121,1003,92,5003,08:00
121,1004,93,5004,09:00
121,1005,94,5005,010:00
121,1006,95,5006,011:00
121,1007,96,5007,012:00
141,1000,97,5000,05:00
141,1001,98,5001,06:00
141,1002,99,5002,07:00
141,1003,100,5003,08:00
141,1004,101,5004,09:00
141,1005,102,5005,010:00
141,1006,103,5006,011:00
141,1007,104,5007,012:00
142,1000,105,5000,05:00
142,1001,106,5001,06:00
142,1002,107,5002,07:00
142,1003,108,5003,08:00
142,1004,109,5004,09:00
142,1005,110,5005,010:00
142,1006,111,5006,011:00
142,1007,112,5007,012:00
144,1000,113,5000,05:00
144,1001,114,5001,06:00
144,1002,115,5002,07:00
144,1003,116,5003,08:00
144,1004,117,5004,09:00
144,1005,118,5005,010:00
144,1006,119,5006,011:00
144,1007,120,5007,012:00
405,1000,121,5000,05:00
405,1001,122,5001,06:00
405,1002,123,5002,07:00
405,1003,124,5003,08:00
405,1004,125,5004,09:00
405,1005,126,5005,010:00
405,1006,127,5006,011:00
405,1007,128,5007,012:00
407,1000,129,5000,05:00
407,1001,130,5001,06:00
407,1002,131,5002,07:00
407,1003,132,5003,08:00
407,1004,133,5004,09:00
407,1005,134,5005,010:00
407,1006,135,5006,011:00
407,1007,136,5007,012:00
CA1,1000,137,5000,05:00
CA1,1001,138,5001,06:00
CA1,1002,139,5002,07:00
CA1,1003,140,5003,08:00
CA1,1004,141,5004,09:00
CA1,1005,142,5005,010:00
CA1,1006,143,5006,011:00
CA1,1007,144,5007,012:00
306,1000,145,5000,05:00
306,1001,146,5001,06:00
306,1002,147,5002,07:00
306,1003,148,5003,08:00
306,1004,149,5004,09:00
306,1005,150,5005,010:00
306,1006,151,5006,011:00
306,1007,152,5007,012:00
L1,1000,153,5000,05:00
L1,1001,154,5001,06:00
L1,1002,155,5002,07:00
L1,1003,156,5003,08:00
L1,1004,157,5004,09:00
L1,1005,158,5005,010:00
L1,1006,159,5006,011:00
L1,1007,160,5007,012:00
300,5555,64,9999,21:00
