TABLA DE HORARIOS - UCOT
LINEA 105 - VUELTA
Servicio,Sale,Step1,Step2,Step3,Step4,Llegada
1000,05:00,05:00,05:00,05:00,05:00,05:00
1001,05:15,05:15,05:15,05:15,05:15,05:15
1002,05:30,05:30,05:30,05:30,05:30,05:30
1003,05:45,05:45,05:45,05:45,05:45,05:45
1004,06:00,06:00,06:00,06:00,06:00,06:00
1005,06:15,06:15,06:15,06:15,06:15,06:15
1006,06:30,06:30,06:30,06:30,06:30,06:30
1007,06:45,06:45,06:45,06:45,06:45,06:45
1008,07:00,07:00,07:00,07:00,07:00,07:00
1009,07:15,07:15,07:15,07:15,07:15,07:15
1010,07:30,07:30,07:30,07:30,07:30,07:30
1011,07:45,07:45,07:45,07:45,07:45,07:45
1012,08:00,08:00,08:00,08:00,08:00,08:00
1013,08:15,08:15,08:15,08:15,08:15,08:15
1014,08:30,08:30,08:30,08:30,08:30,08:30
1015,08:45,08:45,08:45,08:45,08:45,08:45
1016,09:00,09:00,09:00,09:00,09:00,09:00
1017,09:15,09:15,09:15,09:15,09:15,09:15
1018,09:30,09:30,09:30,09:30,09:30,09:30
1019,09:45,09:45,09:45,09:45,09:45,09:45
1020,10:00,10:00,10:00,10:00,10:00,10:00
1021,10:15,10:15,10:15,10:15,10:15,10:15
1022,10:30,10:30,10:30,10:30,10:30,10:30
1023,10:45,10:45,10:45,10:45,10:45,10:45
1024,11:00,11:00,11:00,11:00,11:00,11:00
1025,11:15,11:15,11:15,11:15,11:15,11:15
1026,11:30,11:30,11:30,11:30,11:30,11:30
1027,11:45,11:45,11:45,11:45,11:45,11:45
1028,12:00,12:00,12:00,12:00,12:00,12:00
1029,12:15,12:15,12:15,12:15,12:15,12:15
1030,12:30,12:30,12:30,12:30,12:30,12:30
1031,12:45,12:45,12:45,12:45,12:45,12:45
1032,13:00,13:00,13:00,13:00,13:00,13:00
1033,13:15,13:15,13:15,13:15,13:15,13:15
1034,13:30,13:30,13:30,13:30,13:30,13:30
1035,13:45,13:45,13:45,13:45,13:45,13:45
1036,14:00,14:00,14:00,14:00,14:00,14:00
1037,14:15,14:15,14:15,14:15,14:15,14:15
1038,14:30,14:30,14:30,14:30,14:30,14:30
1039,14:45,14:45,14:45,14:45,14:45,14:45
1040,15:00,15:00,15:00,15:00,15:00,15:00
1041,15:15,15:15,15:15,15:15,15:15,15:15
1042,15:30,15:30,15:30,15:30,15:30,15:30
1043,15:45,15:45,15:45,15:45,15:45,15:45
1044,16:00,16:00,16:00,16:00,16:00,16:00
1045,16:15,16:15,16:15,16:15,16:15,16:15
1046,16:30,16:30,16:30,16:30,16:30,16:30
1047,16:45,16:45,16:45,16:45,16:45,16:45
1048,17:00,17:00,17:00,17:00,17:00,17:00
1049,17:15,17:15,17:15,17:15,17:15,17:15
